Nombre,DNI,NSS,Género,Código Postal,Fecha Nacimiento,Fecha Ingreso,Diagnóstico,Tratamiento,Resultados
Pablo Ortega,36477505T,10/71114557/04,M,36325,1956-07-21,2024-05-31,Artritis leve,Antihistamínicos,Reagudización leve
Laura Molina,39095621D,46/99489684/05,F,43643,2005-06-09,2023-02-14,Dermatitis atópica,Salbutamol inhalado,Mejora significativa
Paula Ruiz,31150872O,19/89038506/06,M,47871,1946-12-04,2024-04-16,Hipertensión arterial,Corticoide tópico,Síntomas reducidos
Lucía López,94573524U,70/46799154/01,M,30054,1980-02-24,2025-08-26,Asma persistente,Sertralina 50 mg,Respuesta favorable
Clara López,11394189Z,86/73773287/08,F,13120,2002-05-27,2023-04-11,Gastritis,Paracetamol 1g,Alta médica
Carlos Castro,24977297W,13/22756515/02,M,22396,1951-07-07,2023-06-23,Alergia estacional,Ibuprofeno 400 mg/8h,Sin cambios relevantes
Carlos Ruiz,23175311V,10/97327245/07,F,25375,1973-05-07,2025-09-03,Ansiedad generalizada,Metformina 850 mg/12h,Respuesta favorable
Ana Molina,88262757Z,82/73181606/03,F,20221,1953-01-02,2025-04-14,Alergia estacional,Omeprazol 20 mg/día,Alta médica
Marta Romero,53690949O,80/44189719/01,F,31986,1944-07-30,2024-12-24,Artritis leve,Salbutamol inhalado,Estable
Paula Fernández,49971780H,15/77361389/03,M,10345,1990-03-26,2025-01-11,Artritis leve,Sertralina 50 mg,Sin cambios relevantes
Javier Vega,40733868Q,24/73233602/01,F,50710,1990-05-24,2023-09-12,Dermatitis atópica,Enalapril 10 mg/día,Alta médica
Sergio Romero,15496725T,13/85617390/08,M,16143,2007-12-25,2024-04-20,Dermatitis atópica,Corticoide tópico,Estable
Lucía Molina,52851401C,23/20291795/08,F,17340,1963-07-03,2023-05-12,Migraña episódica,Metformina 850 mg/12h,Síntomas reducidos
Sergio Navarro,94588051O,65/79012534/01,M,21789,1968-05-09,2024-09-06,Alergia estacional,Enalapril 10 mg/día,Síntomas reducidos
Carlos Molina,71872865B,56/38278570/05,M,21320,1962-07-26,2024-03-30,Alergia estacional,Ibuprofeno 400 mg/8h,Estable
Carlos Gómez,25891256Z,70/54962349/08,F,29182,1958-02-08,2023-09-02,Dermatitis atópica,Enalapril 10 mg/día,Reagudización leve
Paula López,80984819P,76/24794213/06,F,29781,2003-05-03,2025-10-26,Ansiedad generalizada,Sertralina 50 mg,Mejora significativa
Lucía Castro,24157958Z,68/83337473/01,F,17181,2000-04-04,2025-02-05,Dermatitis atópica,Metformina 850 mg/12h,Síntomas reducidos
Lucía Navarro,74217723M,44/64048724/07,M,12936,1960-07-21,2025-03-16,Alergia estacional,Metformina 850 mg/12h,Mejora significativa
Hugo Díaz,56655117G,36/73541484/01,M,10564,1944-01-28,2024-04-10,Dermatitis atópica,Omeprazol 20 mg/día,Estable
Sara Fernández,76693158Z,15/78865603/08,M,28120,1999-03-13,2024-11-30,Asma persistente,Enalapril 10 mg/día,Estable
Clara Ruiz,43704635J,80/37930103/03,M,13502,1982-04-02,2025-02-25,Dermatitis atópica,Antihistamínicos,Sin cambios relevantes
Paula Vega,48463448H,71/51183232/02,M,18591,1949-07-13,2023-02-01,Gastritis,Enalapril 10 mg/día,Respuesta favorable
David Vega,52180217W,50/79116444/02,F,15579,1970-04-21,2025-03-10,Gastritis,Ibuprofeno 400 mg/8h,Requiere seguimiento
Mario Vega,23157355O,28/51361970/06,M,50997,1940-09-13,2023-01-01,Gastritis,Salbutamol inhalado,Síntomas reducidos
Hugo Díaz,20720887N,59/56055763/02,M,19913,1974-08-16,2023-08-31,Hipertensión arterial,Omeprazol 20 mg/día,Requiere seguimiento
David Sánchez,36721968D,74/88720292/04,F,34145,2006-07-22,2025-11-30,Artritis leve,Ibuprofeno 400 mg/8h,Estable
Mario López,34701763I,19/49095004/03,F,25724,2006-11-26,2025-06-11,Lumbalgia crónica,Omeprazol 20 mg/día,Control parcial
Sergio López,87338860C,21/58106273/07,F,25724,1955-12-11,2024-07-07,Dermatitis atópica,Ibuprofeno 400 mg/8h,Respuesta favorable
Sergio Fernández,36227770H,64/70809867/07,F,39497,1981-04-18,2025-03-04,Lumbalgia crónica,Antihistamínicos,Mejora significativa
Laura Romero,20287882L,96/46135855/03,M,48902,1975-02-03,2023-01-26,Diabetes tipo II,Ibuprofeno 400 mg/8h,Síntomas reducidos
Marta Molina,19979772H,63/23009219/02,F,37403,1976-06-29,2023-04-08,Lumbalgia crónica,Antihistamínicos,Control parcial
Lucía Ruiz,29101343M,54/23387070/08,M,43777,1975-08-17,2025-08-26,Migraña episódica,Paracetamol 1g,Requiere seguimiento
Marta Castro,40021745Y,34/75782750/08,M,31029,1958-03-10,2024-09-04,Ansiedad generalizada,Sertralina 50 mg,Reagudización leve
Mario Díaz,23304351R,13/48286214/03,F,20895,1952-06-20,2025-11-23,Diabetes tipo II,Omeprazol 20 mg/día,Sin cambios relevantes
Paula Navarro,88068424C,63/79816761/04,F,30417,2007-11-01,2024-06-27,Hipertensión arterial,Fisioterapia,Síntomas reducidos
Pablo Navarro,40858231P,10/12531067/01,M,35244,1969-02-04,2025-01-15,Hipertensión arterial,Salbutamol inhalado,Mejora significativa
Javier Ruiz,79275140R,40/45208734/09,M,14963,1990-11-29,2024-10-02,Artritis leve,Enalapril 10 mg/día,Alta médica
Marta Fernández,19616790G,91/51555189/06,M,10296,1988-05-14,2024-01-23,Dermatitis atópica,Metformina 850 mg/12h,Reagudización leve
Clara Martínez,96165674L,26/34296631/09,M,48630,2010-06-09,2023-06-28,Gastritis,Ibuprofeno 400 mg/8h,Estable
Sara Vega,67235464Z,97/80673675/04,F,29165,1986-05-01,2024-08-26,Gastritis,Ibuprofeno 400 mg/8h,Respuesta favorable
Lucía Gómez,14453793V,27/71474299/02,F,15703,1945-03-27,2024-02-04,Alergia estacional,Salbutamol inhalado,Estable
Lucía Ruiz,55655060X,96/78654582/05,F,11790,1950-03-04,2023-09-06,Lumbalgia crónica,Salbutamol inhalado,Estable
Ana Gómez,10775911B,86/90121860/02,F,36563,1941-12-14,2025-10-28,Dermatitis atópica,Ibuprofeno 400 mg/8h,Alta médica
David López,78165591O,68/76440963/08,M,37543,1962-09-17,2025-10-26,Hipertensión arterial,Paracetamol 1g,Requiere seguimiento
David López,48149744J,85/23203434/04,F,22246,1944-09-08,2024-03-31,Dermatitis atópica,Sertralina 50 mg,Alta médica
Mario Díaz,99157904Z,97/50230235/04,M,43887,1967-12-12,2025-01-08,Migraña episódica,Fisioterapia,Síntomas reducidos
Javier López,12823161M,11/96310382/01,F,14496,1958-08-31,2025-10-07,Alergia estacional,Salbutamol inhalado,Control parcial
Marta Ortega,71553855T,39/51409002/05,F,51443,2002-10-28,2024-06-28,Diabetes tipo II,Antihistamínicos,Estable
David Ruiz,41073269R,44/44237818/06,F,28826,1984-01-23,2024-01-25,Alergia estacional,Paracetamol 1g,Alta médica
Lucía Martínez,86120615Y,18/27332171/06,M,36643,1994-12-17,2025-04-17,Diabetes tipo II,Omeprazol 20 mg/día,Síntomas reducidos
Pablo López,54932139B,41/53725886/02,M,51502,1958-04-22,2023-03-09,Lumbalgia crónica,Corticoide tópico,Síntomas reducidos
Ana Díaz,61459931L,43/90284566/06,F,40330,1962-02-05,2024-08-11,Migraña episódica,Salbutamol inhalado,Sin cambios relevantes
Carlos Ortega,81306725A,67/98557460/04,M,26580,1986-05-08,2023-09-25,Migraña episódica,Paracetamol 1g,Síntomas reducidos
Mario Ruiz,43594799A,61/83416583/04,F,23820,1979-06-13,2024-02-03,Hipertensión arterial,Fisioterapia,Estable
Elena Sánchez,95976075R,30/83853197/01,M,51560,2003-08-30,2023-02-25,Asma persistente,Salbutamol inhalado,Alta médica
Ana Vega,15420566P,88/23619693/05,F,25057,1995-03-03,2024-11-12,Artritis leve,Salbutamol inhalado,Sin cambios relevantes
Marta Ruiz,84015507T,14/67600032/09,F,46152,1960-06-18,2025-06-16,Asma persistente,Omeprazol 20 mg/día,Control parcial
Marta López,58632845X,55/45375010/01,F,49739,1978-01-20,2024-09-22,Hipertensión arterial,Metformina 850 mg/12h,Respuesta favorable
Ana López,23136607T,57/14544877/02,M,36856,2008-02-12,2024-02-26,Dermatitis atópica,Sertralina 50 mg,Respuesta favorable
Javier Sánchez,21836931C,28/93030195/08,F,25023,1979-03-21,2024-12-26,Asma persistente,Fisioterapia,Sin cambios relevantes
Paula Martínez,63826607B,24/75735539/07,M,25014,1988-11-10,2024-02-29,Lumbalgia crónica,Salbutamol inhalado,Sin cambios relevantes
Paula Gómez,67178198R,66/43137808/07,F,31176,2010-04-13,2023-10-14,Gastritis,Enalapril 10 mg/día,Alta médica
Sergio Vega,78181014Q,49/31910895/03,F,22945,1952-12-02,2023-10-04,Ansiedad generalizada,Salbutamol inhalado,Respuesta favorable
Ana Ruiz,48355500S,64/15394690/03,F,13470,1987-11-05,2024-02-18,Migraña episódica,Enalapril 10 mg/día,Síntomas reducidos
Pablo López,99952829H,12/61900158/02,F,13216,1967-03-10,2024-01-24,Hipertensión arterial,Enalapril 10 mg/día,Mejora significativa
Marta Castro,52054514S,53/59734609/07,F,12863,1981-01-07,2025-07-04,Gastritis,Corticoide tópico,Requiere seguimiento
Hugo López,98158963F,92/62147209/07,F,36359,1999-01-05,2024-04-02,Asma persistente,Sertralina 50 mg,Control parcial
Pablo López,93280160S,46/43192982/02,F,35749,1980-04-12,2023-05-07,Lumbalgia crónica,Ibuprofeno 400 mg/8h,Requiere seguimiento
Laura Romero,58549929C,99/90992194/06,M,15182,2008-02-02,2023-11-18,Dermatitis atópica,Salbutamol inhalado,Mejora significativa
Javier Martínez,72648107F,26/99460479/02,M,41809,1978-07-03,2024-06-10,Artritis leve,Ibuprofeno 400 mg/8h,Respuesta favorable
Lucía López,73447569I,74/18631269/09,F,44920,1962-07-13,2024-03-22,Migraña episódica,Ibuprofeno 400 mg/8h,Síntomas reducidos
Paula Ruiz,36221666L,59/65551855/02,M,23621,1998-10-02,2024-09-21,Gastritis,Paracetamol 1g,Estable
Mario López,41456780L,43/10910866/05,M,10723,2003-09-07,2023-09-19,Migraña episódica,Paracetamol 1g,Síntomas reducidos
Sara Fernández,75988726O,19/10283077/08,F,20565,1957-08-14,2024-08-05,Asma persistente,Corticoide tópico,Requiere seguimiento
Elena Ortega,48863009V,32/13511565/09,M,45835,1950-12-04,2024-07-25,Migraña episódica,Sertralina 50 mg,Estable
Carlos Martínez,79032887F,31/19009973/06,M,32442,1971-06-05,2025-02-20,Diabetes tipo II,Paracetamol 1g,Requiere seguimiento
Pablo Ortega,83431528H,39/18467156/06,F,31172,1994-09-28,2023-07-25,Lumbalgia crónica,Antihistamínicos,Estable
Clara Fernández,74961562K,51/67458920/07,F,34901,1969-12-06,2025-01-07,Dermatitis atópica,Fisioterapia,Síntomas reducidos
Carlos Molina,95905268F,53/38615900/02,F,21752,1944-10-18,2025-06-24,Alergia estacional,Antihistamínicos,Sin cambios relevantes
Elena Martínez,90457589A,26/84238804/02,M,38447,1988-09-21,2025-06-25,Gastritis,Antihistamínicos,Mejora significativa
Ana Ruiz,97668015R,85/25620843/09,M,19886,2009-11-29,2024-09-05,Diabetes tipo II,Salbutamol inhalado,Requiere seguimiento
Hugo Navarro,27277451Q,96/70041710/04,M,15520,1993-08-30,2024-04-09,Asma persistente,Fisioterapia,Respuesta favorable
David Navarro,27732481H,69/75679827/03,F,32291,1982-08-23,2023-11-14,Alergia estacional,Fisioterapia,Mejora significativa
Carlos Ortega,13627928R,87/63887066/03,F,20875,1952-03-02,2023-04-26,Diabetes tipo II,Ibuprofeno 400 mg/8h,Requiere seguimiento
David López,64867091A,96/86975229/01,M,24427,1998-10-09,2025-02-05,Lumbalgia crónica,Corticoide tópico,Mejora significativa
David Díaz,13435372X,11/12643213/05,M,31495,2010-04-24,2023-03-17,Artritis leve,Enalapril 10 mg/día,Respuesta favorable
Carlos Romero,14751864E,86/34453709/02,M,22371,1989-03-06,2024-01-07,Migraña episódica,Metformina 850 mg/12h,Requiere seguimiento
Paula Castro,20170287X,63/20728259/04,F,29526,2005-09-02,2023-11-21,Migraña episódica,Antihistamínicos,Estable
Mario Vega,39654828Y,36/95838979/08,F,11664,1961-12-05,2023-08-06,Gastritis,Corticoide tópico,Estable
Mario Fernández,93766565Z,77/93740275/03,F,14332,1999-09-13,2023-02-17,Dermatitis atópica,Fisioterapia,Síntomas reducidos
David Fernández,78469069S,79/47925947/06,F,28930,1988-03-16,2023-05-28,Asma persistente,Ibuprofeno 400 mg/8h,Reagudización leve
Mario Navarro,74694941A,78/16106711/03,F,16718,1968-04-10,2023-06-09,Ansiedad generalizada,Omeprazol 20 mg/día,Reagudización leve
Elena Romero,71277894G,49/95029836/02,M,44641,1965-06-11,2025-02-11,Gastritis,Enalapril 10 mg/día,Alta médica
Pablo Díaz,93554487N,94/17340608/07,M,26796,1990-09-04,2024-04-17,Diabetes tipo II,Antihistamínicos,Estable
Sara Castro,16938970B,18/71558451/04,M,27082,1989-10-08,2024-12-30,Alergia estacional,Antihistamínicos,Reagudización leve
David Navarro,48418469D,69/49909899/01,F,41891,2007-05-06,2025-09-23,Ansiedad generalizada,Fisioterapia,Alta médica
Sergio Gómez,56294171N,27/34744918/01,F,35712,2008-10-29,2025-07-31,Artritis leve,Salbutamol inhalado,Control parcial
Paula Vega,47314469D,25/43913821/06,M,10299,1973-07-19,2024-09-19,Asma persistente,Ibuprofeno 400 mg/8h,Estable
Elena Navarro,71458813B,19/73130205/08,F,37891,1965-07-28,2023-09-17,Diabetes tipo II,Antihistamínicos,Estable
David Sánchez,17396023Q,73/57418501/07,F,45247,1957-06-14,2024-07-23,Dermatitis atópica,Sertralina 50 mg,Mejora significativa
Marta Ortega,28155891U,50/29804166/07,M,29306,1941-12-27,2024-09-03,Artritis leve,Omeprazol 20 mg/día,Mejora significativa
Carlos Ruiz,39937049M,92/90583603/05,M,25192,1976-03-26,2025-06-25,Hipertensión arterial,Sertralina 50 mg,Reagudización leve
Laura Gómez,75889889K,69/33640195/05,M,23246,1955-05-03,2024-05-25,Asma persistente,Metformina 850 mg/12h,Sin cambios relevantes
David Martínez,87645684C,21/99554478/06,F,20123,1982-08-19,2023-06-12,Hipertensión arterial,Metformina 850 mg/12h,Síntomas reducidos
Marta Ortega,12821306W,82/12250382/07,M,22523,1969-12-24,2025-09-01,Artritis leve,Antihistamínicos,Control parcial
Marta Martínez,80684676N,77/22188927/01,M,36982,1962-08-18,2024-08-17,Hipertensión arterial,Omeprazol 20 mg/día,Reagudización leve
Elena Ruiz,96822269S,88/77353773/08,F,19237,1969-10-14,2025-05-13,Artritis leve,Metformina 850 mg/12h,Sin cambios relevantes
Pablo López,67831460J,32/27092465/08,F,41984,1980-05-16,2025-07-13,Asma persistente,Ibuprofeno 400 mg/8h,Respuesta favorable
Laura Castro,20072227U,91/65906973/03,F,40885,1971-07-02,2025-01-18,Lumbalgia crónica,Salbutamol inhalado,Requiere seguimiento
Ana Vega,53182539P,70/65893268/03,M,30933,1993-11-10,2024-11-10,Diabetes tipo II,Enalapril 10 mg/día,Control parcial
Lucía Molina,77236729C,32/68843507/03,M,14603,1957-01-02,2025-04-24,Lumbalgia crónica,Omeprazol 20 mg/día,Respuesta favorable
David Fernández,36400782X,92/50909041/04,F,17854,1965-05-29,2024-05-06,Asma persistente,Salbutamol inhalado,Mejora significativa
Sergio Ruiz,91908531X,32/60605161/08,M,52016,2004-12-26,2025-09-08,Ansiedad generalizada,Salbutamol inhalado,Respuesta favorable
Hugo López,77256840I,72/79477034/04,F,19721,1980-04-06,2023-02-05,Hipertensión arterial,Metformina 850 mg/12h,Alta médica
Carlos Vega,84420936R,16/45312804/01,M,19754,1992-11-11,2024-11-30,Ansiedad generalizada,Ibuprofeno 400 mg/8h,Síntomas reducidos
Elena Romero,39886396J,99/24626289/02,M,17795,1990-04-02,2023-08-31,Gastritis,Corticoide tópico,Respuesta favorable
Ana Vega,30007098L,29/48612585/01,M,27483,1992-04-29,2024-10-18,Asma persistente,Sertralina 50 mg,Mejora significativa
Mario Vega,36697466T,49/66187640/04,M,13848,1963-12-15,2023-03-11,Asma persistente,Metformina 850 mg/12h,Mejora significativa
Elena Sánchez,88700595Y,71/43799147/01,F,43091,1998-03-22,2024-12-30,Asma persistente,Antihistamínicos,Respuesta favorable
Pablo Ortega,16442942M,63/15151112/01,M,35282,1963-06-12,2023-04-28,Dermatitis atópica,Enalapril 10 mg/día,Respuesta favorable
Sergio Castro,51075377O,36/80547646/04,M,24093,2002-06-14,2024-07-24,Alergia estacional,Corticoide tópico,Reagudización leve
Sergio Navarro,83434248S,49/78813070/07,M,12502,1978-04-21,2025-03-20,Diabetes tipo II,Corticoide tópico,Reagudización leve
Pablo Martínez,75633149C,21/28649629/01,M,16452,1959-08-04,2023-02-23,Asma persistente,Fisioterapia,Estable
Hugo Molina,45510190E,92/37485712/09,M,33205,1946-11-24,2023-06-10,Lumbalgia crónica,Omeprazol 20 mg/día,Respuesta favorable
Clara Ruiz,66737164Y,44/41988404/02,M,16943,1961-02-10,2024-12-10,Migraña episódica,Salbutamol inhalado,Sin cambios relevantes
Paula Díaz,52621764C,97/69075629/03,F,39022,1943-07-24,2025-01-11,Alergia estacional,Corticoide tópico,Estable
Pablo Molina,69830676M,81/26768300/04,F,29384,1993-05-24,2025-05-06,Migraña episódica,Paracetamol 1g,Respuesta favorable
Clara Castro,12593930C,33/44316001/09,F,29841,1986-03-13,2024-05-03,Migraña episódica,Corticoide tópico,Sin cambios relevantes
Lucía Díaz,73112589L,33/62309715/06,F,39942,1982-09-28,2023-12-19,Diabetes tipo II,Corticoide tópico,Mejora significativa
Lucía Gómez,42489924D,61/79210695/03,M,42536,2000-08-24,2023-07-02,Lumbalgia crónica,Omeprazol 20 mg/día,Síntomas reducidos
Elena Sánchez,46728305B,35/26168907/08,M,43431,1970-01-20,2024-08-08,Alergia estacional,Salbutamol inhalado,Síntomas reducidos
Carlos Navarro,29176214Z,13/79754993/08,M,32833,1981-11-09,2025-03-04,Dermatitis atópica,Metformina 850 mg/12h,Sin cambios relevantes
Hugo Molina,49194539Q,87/61696905/09,F,37783,1954-07-07,2025-07-17,Diabetes tipo II,Ibuprofeno 400 mg/8h,Reagudización leve
Carlos Sánchez,44240029M,92/55377526/01,M,27786,2006-12-14,2025-08-11,Lumbalgia crónica,Antihistamínicos,Alta médica
Mario Vega,68324452H,55/23472558/06,M,52034,1941-08-13,2023-12-16,Migraña episódica,Paracetamol 1g,Alta médica
Elena Díaz,10018526J,54/75654314/03,M,42739,1941-08-29,2023-03-16,Dermatitis atópica,Paracetamol 1g,Alta médica
Hugo Ortega,71104506Q,18/83400476/06,M,13380,1958-06-09,2023-03-28,Artritis leve,Ibuprofeno 400 mg/8h,Estable
Hugo López,94783537J,19/11394322/06,M,36887,1967-07-25,2024-03-31,Hipertensión arterial,Salbutamol inhalado,Estable
Carlos Gómez,71177815Y,69/56871772/08,M,27507,1987-04-29,2023-09-03,Diabetes tipo II,Paracetamol 1g,Sin cambios relevantes
Carlos Castro,32502074F,97/20728649/07,M,45072,2000-11-12,2025-05-20,Asma persistente,Salbutamol inhalado,Mejora significativa
Sergio Vega,12662519L,50/60079888/04,F,29004,1981-07-08,2025-11-24,Hipertensión arterial,Fisioterapia,Requiere seguimiento
Paula López,44935321T,79/32857468/07,M,50930,1949-12-21,2025-10-08,Ansiedad generalizada,Sertralina 50 mg,Reagudización leve
Clara Sánchez,87837947Y,69/12782999/05,M,12588,1997-01-03,2025-01-13,Gastritis,Enalapril 10 mg/día,Reagudización leve
Carlos Fernández,56223537U,79/21189093/07,M,37744,2005-09-28,2025-11-07,Asma persistente,Antihistamínicos,Alta médica
Ana López,48168610Z,36/34341210/01,F,50466,1975-07-20,2025-09-13,Gastritis,Ibuprofeno 400 mg/8h,Reagudización leve
Pablo Ruiz,86197086V,91/27458576/01,M,42148,1953-03-07,2023-04-18,Lumbalgia crónica,Sertralina 50 mg,Sin cambios relevantes
Sergio López,27527333Q,70/80167134/02,F,12466,1987-07-20,2024-05-22,Alergia estacional,Enalapril 10 mg/día,Control parcial
Hugo Sánchez,11034818Q,72/44618013/08,M,17821,1998-01-16,2023-11-21,Diabetes tipo II,Enalapril 10 mg/día,Reagudización leve
Marta Ortega,28892241Q,47/49057037/05,M,27172,1978-08-21,2025-05-06,Migraña episódica,Corticoide tópico,Alta médica
Lucía López,54354331Q,33/51066991/09,M,22945,1961-08-26,2023-05-12,Gastritis,Enalapril 10 mg/día,Alta médica
Sara Vega,20222884T,80/28978348/01,M,18713,1942-09-12,2025-11-27,Asma persistente,Metformina 850 mg/12h,Sin cambios relevantes
Marta Romero,59186494R,83/31470032/06,F,10217,2001-07-17,2023-02-20,Lumbalgia crónica,Fisioterapia,Síntomas reducidos
Paula Vega,96450886Z,66/99807310/08,M,17156,1952-02-11,2025-11-21,Asma persistente,Antihistamínicos,Estable
Clara Castro,91725753O,75/62082834/09,M,24204,1965-11-29,2025-07-09,Ansiedad generalizada,Metformina 850 mg/12h,Control parcial
Lucía Ortega,30528925W,35/73130728/07,M,43103,1973-11-17,2023-12-19,Gastritis,Omeprazol 20 mg/día,Respuesta favorable
Marta Vega,28002228R,28/62157009/04,F,38794,1952-02-09,2024-03-29,Asma persistente,Salbutamol inhalado,Alta médica
Hugo Vega,15890323M,77/54126955/08,M,22852,2001-02-21,2025-07-12,Dermatitis atópica,Antihistamínicos,Síntomas reducidos
Ana Navarro,74938326E,63/45969970/06,F,32007,2001-10-27,2025-11-04,Artritis leve,Ibuprofeno 400 mg/8h,Estable
Pablo Vega,21815239W,59/30654230/06,F,10910,1977-08-29,2024-05-13,Gastritis,Corticoide tópico,Alta médica
Sergio Fernández,26790542X,68/54571166/01,F,49189,1957-08-19,2024-06-16,Lumbalgia crónica,Antihistamínicos,Control parcial
Ana Sánchez,20269070N,47/60171386/07,M,33325,2006-11-01,2025-08-11,Dermatitis atópica,Salbutamol inhalado,Síntomas reducidos
Laura Martínez,95386119Y,19/71617658/04,M,52756,1956-03-01,2023-12-01,Artritis leve,Salbutamol inhalado,Requiere seguimiento
Marta Romero,87360484G,39/10512718/01,M,39489,2005-02-26,2024-12-16,Alergia estacional,Fisioterapia,Sin cambios relevantes
Clara Vega,72146640Y,87/62236051/08,M,18534,1986-07-04,2023-04-25,Asma persistente,Paracetamol 1g,Estable
Marta Romero,20576433P,27/28145176/02,F,35354,1992-01-25,2024-01-17,Migraña episódica,Enalapril 10 mg/día,Sin cambios relevantes
Pablo Navarro,90997108U,83/38746091/01,M,43826,2009-12-26,2025-02-05,Artritis leve,Antihistamínicos,Reagudización leve
Elena Fernández,74709712E,83/97280798/05,M,49981,1991-03-16,2025-08-24,Diabetes tipo II,Metformina 850 mg/12h,Estable
Mario Fernández,42590021C,85/44378213/04,F,13833,1958-08-17,2023-02-10,Migraña episódica,Salbutamol inhalado,Mejora significativa
Marta Fernández,90789850Y,69/15769528/05,M,52705,1969-09-30,2025-06-24,Hipertensión arterial,Salbutamol inhalado,Requiere seguimiento
Elena Vega,92436955W,56/10498253/04,M,12509,1945-09-25,2025-08-25,Migraña episódica,Sertralina 50 mg,Sin cambios relevantes
Elena Navarro,17405624O,68/64790340/01,M,10919,1991-09-23,2023-12-08,Dermatitis atópica,Salbutamol inhalado,Requiere seguimiento
Pablo Vega,38920565L,95/68964775/03,F,37187,1946-09-14,2024-12-14,Migraña episódica,Antihistamínicos,Mejora significativa
David López,82388711C,15/94431521/09,M,11615,1999-06-07,2023-10-10,Alergia estacional,Omeprazol 20 mg/día,Sin cambios relevantes
Mario Molina,51056489D,65/22404058/08,F,29719,2000-05-09,2023-05-12,Hipertensión arterial,Ibuprofeno 400 mg/8h,Mejora significativa
Mario Ruiz,21634311C,86/37036059/06,M,37026,2007-03-06,2025-09-23,Lumbalgia crónica,Omeprazol 20 mg/día,Respuesta favorable
Mario Gómez,64524874M,46/11743693/02,F,15897,1989-08-08,2023-11-06,Diabetes tipo II,Paracetamol 1g,Estable
David Castro,17981893E,40/28609927/04,F,31196,1949-10-07,2023-07-13,Artritis leve,Salbutamol inhalado,Control parcial
Hugo Fernández,66965897J,85/13337944/07,M,33034,1977-12-23,2024-09-30,Alergia estacional,Omeprazol 20 mg/día,Control parcial
Javier Ortega,91446291Y,54/58787722/05,M,36090,1979-01-12,2023-12-26,Ansiedad generalizada,Omeprazol 20 mg/día,Alta médica
Sergio Díaz,42572740Z,35/82105940/02,F,49521,1987-10-16,2025-04-25,Hipertensión arterial,Enalapril 10 mg/día,Sin cambios relevantes
Paula Díaz,92630223S,34/29302928/04,F,35536,1976-10-28,2023-11-21,Hipertensión arterial,Omeprazol 20 mg/día,Requiere seguimiento
Pablo Romero,58286387I,40/95609755/01,F,43614,2006-11-14,2024-07-04,Hipertensión arterial,Paracetamol 1g,Reagudización leve
Carlos Castro,88282232J,36/61602647/06,M,35342,2006-11-03,2024-10-17,Artritis leve,Metformina 850 mg/12h,Síntomas reducidos
Sara Vega,94815492B,98/87750210/03,F,49867,1995-05-08,2023-06-29,Diabetes tipo II,Salbutamol inhalado,Síntomas reducidos
Javier Molina,27977039Z,56/47636623/01,F,14584,1973-12-09,2024-10-12,Diabetes tipo II,Paracetamol 1g,Estable
Sergio Vega,86922150T,15/81606987/05,M,34993,1960-08-11,2025-05-31,Asma persistente,Enalapril 10 mg/día,Alta médica
Mario Díaz,28563121D,52/31402025/03,F,22733,2002-04-30,2024-02-26,Artritis leve,Ibuprofeno 400 mg/8h,Respuesta favorable
Pablo Gómez,90246644F,94/20049361/07,F,35323,1995-01-21,2025-07-28,Artritis leve,Salbutamol inhalado,Sin cambios relevantes
Pablo Gómez,95283337J,39/24636906/03,F,13444,1971-12-12,2025-02-09,Lumbalgia crónica,Sertralina 50 mg,Estable
Clara Molina,23933260L,60/37635051/06,M,31723,1955-11-21,2023-05-11,Migraña episódica,Paracetamol 1g,Estable
Mario Ruiz,34986189H,18/38508686/01,F,51189,1985-04-18,2024-12-08,Dermatitis atópica,Metformina 850 mg/12h,Síntomas reducidos
Carlos Ruiz,60427783O,77/94507649/01,M,39027,1953-02-15,2024-07-29,Ansiedad generalizada,Sertralina 50 mg,Requiere seguimiento
David Vega,56706333K,94/30536744/08,M,47714,1958-05-12,2025-07-08,Gastritis,Salbutamol inhalado,Requiere seguimiento
Carlos Romero,12536952G,87/71734468/09,M,39944,1986-04-29,2025-05-15,Asma persistente,Enalapril 10 mg/día,Requiere seguimiento
Clara Gómez,73365495L,20/96976643/05,F,24435,1957-10-05,2023-11-03,Migraña episódica,Salbutamol inhalado,Control parcial
Marta Sánchez,24871534H,30/39045052/06,F,27566,1980-10-12,2023-09-27,Migraña episódica,Ibuprofeno 400 mg/8h,Reagudización leve
Carlos Gómez,52216973G,73/92108616/07,M,12695,1982-05-02,2023-09-05,Dermatitis atópica,Omeprazol 20 mg/día,Estable
Laura Molina,10911439M,45/93186471/04,M,19805,1965-05-19,2023-09-19,Gastritis,Paracetamol 1g,Alta médica
Sara Vega,17175038N,84/12843602/04,F,38729,1968-10-04,2024-11-24,Ansiedad generalizada,Salbutamol inhalado,Síntomas reducidos
Elena Molina,53509721O,17/30441308/02,M,25212,1959-10-23,2024-05-15,Migraña episódica,Salbutamol inhalado,Alta médica
Paula López,25494180L,52/74821624/04,F,26813,2003-02-06,2025-10-31,Dermatitis atópica,Metformina 850 mg/12h,Reagudización leve
Hugo Martínez,77188749T,10/70381843/09,F,48259,2001-03-27,2023-01-16,Dermatitis atópica,Salbutamol inhalado,Mejora significativa
Mario Romero,39323402U,64/85739111/02,M,29397,1958-02-15,2025-02-06,Dermatitis atópica,Ibuprofeno 400 mg/8h,Reagudización leve
